T1.KZY01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH04.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.PZH06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH07.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.PZH08.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.PZH09.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH12.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.PZH15.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.PZH16.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.PZH17.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XBT01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XBT02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XBT03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XDC01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XDC02.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.XDC03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XDC04.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.XDC05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XGL01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XGL02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XGL3A.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHD07.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHL01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHL02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.XHL03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
